x,y,id,s
-0.07,-0.02,"ap_3.txt",4.0
-0.37,-0.08,"ap_4.txt",4.0
-0.09,0.19,"ap_5.txt",4.0
0.41,-0.22,"ap_6.txt",4.0
0.68,0.10,"ap_7.txt",4.0
-0.20,0.43,"ap_8.txt",4.0
0.05,0.66,"ap_9.txt",4.0
0.49,-0.32,"ap_10.txt",4.0
-0.11,-0.13,"ap_11.txt",4.0
-0.37,-0.06,"ap_12.txt",4.0
-0.05,0.46,"ap_13.txt",4.0
0.20,-0.23,"ap_14.txt",4.0
-0.39,-0.26,"ap_15.txt",4.0
-0.45,-0.24,"ap_16.txt",4.0
0.49,-0.21,"ap_17.txt",4.0
0.27,0.03,"ap_18.txt",4.0
0.10,-0.20,"ap_19.txt",4.0
-0.22,-0.01,"ap_20.txt",4.0
0.19,-0.29,"ap_21.txt",4.0
0.48,0.12,"ap_22.txt",4.0
0.40,-0.28,"ap_23.txt",4.0
0.02,0.19,"ap_24.txt",4.0
0.14,-0.24,"ap_25.txt",4.0
0.03,-0.19,"ap_26.txt",4.0
-0.19,0.62,"ap_27.txt",4.0
-0.03,-0.23,"ap_28.txt",4.0
0.47,-0.16,"ap_29.txt",4.0
-0.55,-0.08,"ap_30.txt",4.0
0.57,-0.26,"ap_31.txt",4.0
-0.57,-0.17,"ap_32.txt",4.0
0.73,-0.17,"ap_33.txt",4.0
0.33,-0.19,"ap_34.txt",4.0
-0.28,-0.23,"ap_35.txt",5.38
0.48,0.05,"ap_36.txt",4.0
-0.58,-0.16,"archelim_1.txt",212.68
-0.58,-0.16,"archex_1.txt",709.37
0.78,-0.22,"avatar_1.txt",5.14
0.48,-0.23,"b_1.txt",4.0
0.50,-0.22,"b_2.txt",4.0
0.62,-0.23,"b_3.txt",4.0
0.58,-0.11,"b_4.txt",4.0
-0.11,0.14,"b_5.txt",4.0
0.24,0.18,"b_6.txt",4.0
0.70,0.08,"b_7.txt",4.0
0.77,-0.30,"b_8.txt",4.0
0.48,0.12,"b_9.txt",4.0
0.69,-0.11,"b_10.txt",4.0
0.64,-0.13,"b_11.txt",4.0
0.48,0.07,"b_12.txt",4.0
0.21,0.00,"b_13.txt",4.0
0.90,-0.05,"b_14.txt",6.93
-0.06,-0.34,"b_15.txt",4.0
-0.45,-0.27,"b_16.txt",4.0
-0.16,-0.25,"b_17.txt",4.0
0.70,-0.10,"b_18.txt",4.0
0.56,-0.36,"b_19.txt",4.0
0.27,0.29,"b_20.txt",4.0
0.57,-0.09,"b_21.txt",4.0
0.31,-0.01,"b_22.txt",4.0
0.46,-0.02,"b_23.txt",4.0
0.08,0.41,"b_24.txt",4.0
0.67,-0.18,"b_25.txt",4.0
0.64,-0.17,"b_26.txt",4.0
-0.22,0.01,"b_27.txt",4.0
0.28,0.08,"ba_1.txt",4.0
0.21,-0.06,"ba_2.txt",4.0
0.14,-0.35,"ba_3.txt",4.0
0.59,-0.15,"ba_4.txt",4.0
0.60,0.37,"ba_5.txt",4.0
0.43,-0.07,"ba_6.txt",4.0
-0.01,0.13,"ba_7.txt",4.0
-0.17,-0.28,"ba_8.txt",4.0
0.41,-0.27,"ba_9.txt",4.0
-0.24,-0.17,"ba_10.txt",4.0
0.50,-0.29,"ba_11.txt",4.0
0.10,0.16,"ba_12.txt",4.0
0.32,-0.05,"ba_13.txt",4.0
0.56,-0.05,"ba_14.txt",4.0
0.40,0.10,"ba_15.txt",4.0
0.46,-0.06,"ba_16.txt",4.0
0.28,-0.18,"ba_17.txt",4.0
0.59,-0.15,"ba_18.txt",4.0
0.27,-0.03,"ba_19.txt",4.0
0.04,-0.10,"ba_20.txt",4.0
0.42,-0.34,"ba_21.txt",4.0
0.09,-0.25,"ba_22.txt",4.0
0.48,-0.24,"ba_23.txt",4.0
0.47,-0.29,"ba_24.txt",4.0
0.18,-0.29,"ba_25.txt",4.0
0.13,-0.32,"ba_26.txt",4.0
-0.13,-0.19,"ba_27.txt",4.0
0.33,-0.39,"ba_28.txt",4.0
0.55,-0.22,"ba_29.txt",4.0
0.29,-0.09,"ba_30.txt",4.0
0.31,-0.29,"ba_31.txt",4.0
0.15,0.19,"ba_32.txt",4.0
0.41,-0.05,"ba_33.txt",4.0
0.33,-0.11,"ba_34.txt",4.0
0.48,-0.30,"ba_35.txt",4.0
-0.12,0.08,"ba_36.txt",4.0
-0.46,-0.19,"ba_37.txt",4.0
0.52,-0.25,"ba_38.txt",4.0
0.42,-0.28,"ba_39.txt",4.0
0.58,-0.12,"ba_40.txt",4.0
-0.53,-0.14,"baghdad_1.txt",4.0
0.16,-0.31,"bb_1.txt",4.0
0.24,0.08,"bb_2.txt",4.0
-0.10,0.50,"bb_3.txt",4.0
0.65,-0.19,"bb_4.txt",4.0
0.23,-0.23,"bb_5.txt",4.0
0.70,-0.11,"bb_6.txt",4.0
0.43,-0.25,"bb_7.txt",4.0
0.72,-0.34,"bb_8.txt",4.0
-0.52,0.12,"bb_9.txt",4.0
0.16,-0.14,"bb_10.txt",4.0
0.19,-0.20,"bb_11.txt",4.0
0.34,-0.06,"bb_12.txt",4.0
0.43,-0.34,"bb_13.txt",4.0
-0.16,-0.37,"bb_14.txt",4.0
-0.08,-0.33,"bb_15.txt",4.0
-0.53,-0.20,"bb_16.txt",4.0
0.01,-0.14,"bb_17.txt",4.0
-0.44,-0.24,"bb_18.txt",4.0
0.52,-0.26,"bb_19.txt",4.0
-0.55,-0.14,"bb_20.txt",4.0
0.35,-0.22,"bb_21.txt",4.0
0.60,-0.06,"bb_22.txt",4.0
0.23,-0.21,"bb_23.txt",4.0
0.69,-0.26,"bb_24.txt",4.0
-0.03,0.17,"bb_25.txt",4.0
-0.60,-0.19,"bb_26.txt",4.0
-0.56,-0.15,"bb_27.txt",4.0
0.54,-0.09,"bb_28.txt",4.0
-0.45,-0.05,"bb_29.txt",4.0
-0.30,0.51,"bb_30.txt",4.0
0.19,-0.20,"bb_31.txt",4.0
0.30,-0.04,"bb_32.txt",4.0
0.06,0.44,"bb_33.txt",4.0
0.11,-0.22,"bb_34.txt",4.0
-0.13,-0.32,"bb_35.txt",4.0
