

@lastlog, Cybermind MOO


The Cybermind MOO is going down on Monday; here is the official lastlog
taken Perth time around 1 in the morning. This lists all the players who
have ever logged on.

Cybermind MOO was developed for the November 1996 conference in Perth; it
was used heavily during the conference itself. We sent out lastlogs at
that point, so members of the Fop-L and Cybermind email lists could see
the virtual real-time community at work.

Now this is coming through as an epitaph.

Alan

@lastlog

Players who have connected within the last day:
  Beaverloop_Guest last connected Mon Oct  7 04:39:54 1996 WST.
  Book_Of_Funk_Guest last connected Mon Feb 24 21:01:50 1997 WST.
  Electric_Ass_Band_Guest last connected Sat Nov 30 09:46:54 1996 WST.
  Sic_Guest last connected Tue Nov 26 03:06:40 1996 WST.
  Fondula_Guest last connected Wed Feb 26 19:46:49 1997 WST.
  Devils_On_Horseback_Guest last connected Mon Oct  7 04:45:59 1996 WST.
  Spooky_Guest last connected Thu Nov 28 12:01:44 1996 WST.
  Felis_and_Tause_Guest last connected Mon Oct  7 04:33:47 1996 WST.
  Rude_Guest last connected Tue Dec  3 20:45:52 1996 WST.
  Freaky last connected Thu Nov  7 09:50:36 1996 WST.
  Paul last connected Fri Nov  8 10:25:42 1996 WST.
  noh last connected Wed Dec  4 01:13:45 1996 WST.
  hmmmm last connected Thu Nov 14 15:25:37 1996 WST.
  Monakee last connected Mon Dec  2 14:08:22 1996 WST.
  mata_hari last connected Fri Nov 22 08:25:46 1996 WST.
  FrootLoop last connected Tue Mar 18 17:57:57 1997 WST.
  Ghost last connected Mon Dec  2 02:42:57 1996 WST.
  Chapman last connected Fri Nov 22 01:53:34 1996 WST.
  Ivan last connected Fri Jan 10 12:07:36 1997 WST.
  Canis_Lupus last connected Sat Nov 30 09:28:22 1996 WST.
  Jonah last connected Sat Dec  7 09:18:03 1996 WST.
  marky last connected Fri Nov 29 14:56:38 1996 WST.
  tinker last connected Sun Dec  1 02:08:23 1996 WST.
  Phumeza last connected Mon Dec  2 22:07:05 1996 WST.
  Antares last connected Fri Dec  6 03:19:49 1996 WST.
  Gillian last connected Fri Nov 29 08:57:06 1996 WST.
  Susan last connected Sun Dec  1 14:36:18 1996 WST.
  finger last connected Tue Dec 24 00:24:38 1996 WST.
  Barefoot last connected Fri Nov 29 14:38:18 1996 WST.
  Logger last connected Sat Nov 30 09:25:34 1996 WST.
