x,y,id,s
6.80,14.86,"ap_3.txt",4.0
4.92,10.72,"ap_4.txt",4.0
0.32,-0.64,"ap_5.txt",4.0
0.29,-0.59,"ap_6.txt",4.0
-13.42,0.42,"ap_7.txt",4.0
0.34,-0.61,"ap_8.txt",4.0
8.00,0.76,"ap_9.txt",4.0
-9.17,-0.80,"ap_10.txt",4.0
10.86,-8.39,"ap_11.txt",4.0
-8.16,8.39,"ap_12.txt",4.0
8.00,0.76,"ap_13.txt",4.0
0.27,-0.62,"ap_14.txt",4.0
0.33,-0.60,"ap_15.txt",4.0
0.27,-0.61,"ap_16.txt",4.0
0.30,-0.62,"ap_17.txt",4.0
-7.62,-14.70,"ap_18.txt",4.0
0.32,-0.60,"ap_19.txt",4.0
0.29,-0.59,"ap_20.txt",4.0
0.30,-0.65,"ap_21.txt",4.0
-8.25,4.04,"ap_22.txt",4.0
0.29,-0.61,"ap_23.txt",4.0
8.08,-1.07,"ap_24.txt",4.0
-15.90,-4.09,"ap_25.txt",4.0
0.30,-0.64,"ap_26.txt",4.0
0.31,-0.58,"ap_27.txt",4.0
8.13,14.20,"ap_28.txt",4.0
15.23,3.05,"ap_29.txt",4.0
8.00,0.76,"ap_30.txt",4.0
0.32,-0.59,"ap_31.txt",4.0
16.24,-2.99,"ap_32.txt",4.0
0.31,-0.61,"ap_33.txt",4.0
0.33,-0.60,"ap_34.txt",4.0
8.00,0.76,"ap_35.txt",5.38
0.30,-0.64,"ap_36.txt",4.0
-16.18,-0.32,"archelim_1.txt",212.68
0.33,-0.63,"archex_1.txt",704.5
0.31,-0.58,"avatar_1.txt",5.14
-4.24,11.21,"b_1.txt",4.0
0.28,-0.63,"b_2.txt",4.0
0.27,-0.60,"b_3.txt",4.0
0.28,-0.59,"b_4.txt",4.0
0.27,-0.59,"b_5.txt",4.0
-15.26,12.01,"b_6.txt",4.0
-16.26,2.37,"b_7.txt",4.0
0.29,-0.59,"b_8.txt",4.0
11.32,-6.74,"b_9.txt",4.0
0.32,-0.61,"b_10.txt",4.0
-10.71,4.81,"b_11.txt",4.0
6.04,6.04,"b_12.txt",4.0
0.32,-0.60,"b_13.txt",4.0
-7.03,-15.16,"b_14.txt",6.93
0.31,-0.61,"b_15.txt",4.0
0.32,-0.63,"b_16.txt",4.0
4.70,15.70,"b_17.txt",4.0
-9.13,-0.81,"b_18.txt",4.0
8.00,0.77,"b_19.txt",4.0
12.30,-5.79,"b_20.txt",4.0
0.29,-0.62,"b_21.txt",4.0
0.32,-0.61,"b_22.txt",4.0
0.34,-0.59,"b_23.txt",4.0
-6.76,-6.05,"b_24.txt",4.0
0.33,-0.59,"b_25.txt",4.0
0.30,-0.63,"b_26.txt",4.0
-11.28,6.91,"b_27.txt",4.0
0.28,-0.60,"ba_1.txt",4.0
0.31,-0.61,"ba_2.txt",4.0
0.31,-0.61,"ba_3.txt",4.0
-8.63,-9.28,"ba_4.txt",4.0
0.30,-0.58,"ba_5.txt",4.0
0.33,-0.58,"ba_6.txt",4.0
0.30,-0.61,"ba_7.txt",4.0
0.27,-0.62,"ba_8.txt",4.0
0.35,-0.62,"ba_9.txt",4.0
0.27,-0.61,"ba_10.txt",4.0
-9.57,-11.67,"ba_11.txt",4.0
0.29,-0.60,"ba_12.txt",4.0
0.33,-0.63,"ba_13.txt",4.0
0.30,-0.61,"ba_14.txt",4.0
0.32,-0.61,"ba_15.txt",4.0
0.32,-0.60,"ba_16.txt",4.0
0.30,-0.61,"ba_17.txt",4.0
0.31,-0.61,"ba_18.txt",4.0
0.28,-0.60,"ba_19.txt",4.0
0.30,-0.59,"ba_20.txt",4.0
0.30,-0.57,"ba_21.txt",4.0
0.31,-0.60,"ba_22.txt",4.0
-4.39,-16.10,"ba_23.txt",4.0
-9.73,-13.44,"ba_24.txt",4.0
11.91,-11.74,"ba_25.txt",4.0
8.00,0.76,"ba_26.txt",4.0
0.28,-0.60,"ba_27.txt",4.0
12.44,1.48,"ba_28.txt",4.0
0.34,-0.59,"ba_29.txt",4.0
0.34,-0.61,"ba_30.txt",4.0
-13.00,4.01,"ba_31.txt",4.0
-9.06,-0.82,"ba_32.txt",4.0
8.00,0.76,"ba_33.txt",4.0
8.00,0.76,"ba_34.txt",4.0
-13.97,-9.04,"ba_35.txt",4.0
0.29,-0.61,"ba_36.txt",4.0
0.32,-0.62,"ba_37.txt",4.0
-9.39,2.76,"ba_38.txt",4.0
0.32,-0.60,"ba_39.txt",4.0
0.28,-0.58,"ba_40.txt",4.0
0.29,-0.57,"baghdad_1.txt",4.0
19.43,-2.68,"bb_1.txt",4.0
-9.09,-10.33,"bb_2.txt",4.0
0.31,-0.61,"bb_3.txt",4.0
-9.44,-0.76,"bb_4.txt",4.0
-9.06,-0.82,"bb_5.txt",4.0
13.42,8.05,"bb_6.txt",4.0
0.31,-0.62,"bb_7.txt",4.0
0.24,-15.85,"bb_8.txt",4.0
0.30,-0.61,"bb_9.txt",4.0
10.26,7.25,"bb_10.txt",4.0
0.27,-0.60,"bb_11.txt",4.0
0.27,-0.61,"bb_12.txt",4.0
8.00,0.76,"bb_13.txt",4.0
-9.28,2.00,"bb_14.txt",4.0
0.32,-0.59,"bb_15.txt",4.0
0.29,-0.61,"bb_16.txt",4.0
-10.28,-8.43,"bb_17.txt",4.0
0.34,-0.59,"bb_18.txt",4.0
-14.65,7.17,"bb_19.txt",4.0
0.29,-0.61,"bb_20.txt",4.0
-4.01,15.81,"bb_21.txt",4.0
0.30,-0.61,"bb_22.txt",4.0
0.32,-0.63,"bb_23.txt",4.0
0.34,-0.61,"bb_24.txt",4.0
2.50,13.02,"bb_25.txt",4.0
0.30,-0.61,"bb_26.txt",4.0
0.34,-0.62,"bb_27.txt",4.0
-10.99,1.74,"bb_28.txt",4.0
0.31,-0.62,"bb_29.txt",4.0
0.30,-0.61,"bb_30.txt",4.0
0.29,-0.61,"bb_31.txt",4.0
-14.59,7.17,"bb_32.txt",4.0
0.28,-0.60,"bb_33.txt",4.0
0.29,-0.64,"bb_34.txt",4.0
-6.84,-2.59,"bb_35.txt",4.0
0.24,-0.62,"bb_36.txt",4.0
-9.15,-0.81,"bb_37.txt",4.0
0.31,-0.60,"bb_38.txt",4.0
-9.06,-0.79,"bb_39.txt",4.0
-9.15,-0.81,"bb_40.txt",4.0
-8.95,-1.13,"bb_41.txt",4.0
4.44,-12.16,"bb_42.txt",4.0
0.34,-0.63,"bb_43.txt",4.0
0.32,-0.64,"bb_44.txt",4.0
0.29,-0.60,"bb_45.txt",4.0
-5.77,10.51,"bb_46.txt",4.0
0.31,-0.59,"bb_47.txt",4.0
0.28,-0.63,"bb_48.txt",4.0
9.69,13.27,"bb_49.txt",4.0
0.34,-0.61,"bb_50.txt",4.0
-8.88,5.01,"beginnings_1.txt",4.0
0.32,-0.61,"beginnings_2.txt",14.01
0.28,-0.60,"biobreak_1.txt",30.51
0.29,-0.61,"blank_1.txt",4.28
0.27,-0.61,"Blood_1.txt",4.0
0.33,-0.60,"Blood_2.txt",4.0
-11.56,-4.61,"Blood_3.txt",4.0
-12.33,10.65,"Blood_4.txt",4.0
18.02,-7.93,"Blood_5.txt",4.0
-8.69,13.80,"Blood_6.txt",4.0
-15.08,-6.43,"Blood_7.txt",4.0
-15.30,5.90,"Blood_8.txt",4.0
0.31,-0.60,"Blood_9.txt",4.0
0.31,-0.57,"Blood_10.txt",4.0
-5.97,-4.71,"Blood_11.txt",4.0
-3.15,12.18,"Blood_12.txt",4.0
-9.05,-0.83,"Blood_13.txt",4.0
0.02,8.98,"Blood_14.txt",4.0
0.28,-0.58,"Blood_15.txt",4.0
0.34,-0.60,"Blood_16.txt",4.0
-16.26,-5.28,"Blood_17.txt",4.0
-3.61,-12.50,"Blood_18.txt",4.0
0.27,-0.60,"Blood_19.txt",4.0
10.50,-10.58,"Blood_20.txt",4.0
-9.05,-0.82,"Blood_21.txt",4.0
0.28,-0.61,"Blood_22.txt",4.0
0.32,-0.65,"Blood_23.txt",4.0
0.31,-0.58,"Blood_24.txt",4.0
0.34,-0.60,"Blood_25.txt",4.0
0.32,-0.57,"Blood_26.txt",4.0
-9.06,-0.80,"Blood_27.txt",4.0
7.60,2.83,"Blood_28.txt",4.0
0.32,-0.61,"Blood_29.txt",4.0
-9.05,-0.82,"Blood_30.txt",4.0
0.32,-0.63,"Blood_31.txt",4.0
-9.05,-0.82,"Blood_32.txt",4.0
6.21,15.23,"bone_1.txt",4.0
0.30,-0.61,"bone_2.txt",14.61
0.30,-0.61,"bone_3.txt",4.0
0.32,-0.61,"bone_4.txt",6.3
0.34,-0.60,"brick_1.txt",9.45
0.31,-0.58,"brokenworld_1.txt",4.06
2.55,-6.59,"bu_1.txt",4.0
0.29,-0.57,"bu_2.txt",4.0
0.30,-0.62,"c_1.txt",4.0
0.32,-0.60,"c_2.txt",4.0
4.97,-16.08,"c_3.txt",4.0
0.29,-0.61,"c_4.txt",4.0
0.28,-0.61,"c_5.txt",4.0
0.33,-0.62,"c_6.txt",4.0
14.71,-5.52,"c_7.txt",4.0
-9.39,0.18,"c_8.txt",4.0
0.31,-0.59,"c_9.txt",4.0
14.61,-8.00,"c_10.txt",4.0
8.02,0.78,"c_11.txt",4.0
0.31,-0.59,"c_12.txt",4.0
5.97,6.10,"c_13.txt",4.0
-10.90,2.05,"c_14.txt",4.0
-12.74,14.63,"c_15.txt",4.0
-9.06,-0.82,"c_16.txt",4.0
15.88,-4.76,"c_17.txt",4.0
-10.50,12.47,"c_18.txt",4.0
0.33,-0.61,"c_19.txt",4.0
0.30,-0.60,"c_20.txt",4.0
0.32,-0.59,"c_21.txt",4.0
0.29,-0.62,"c_22.txt",4.0
-3.93,11.31,"c_23.txt",4.0
-9.13,-0.81,"c_24.txt",4.0
10.37,-13.26,"c_25.txt",4.0
8.00,0.76,"c_26.txt",4.0
0.30,-0.62,"c_27.txt",4.0
8.00,0.75,"c_28.txt",4.0
8.00,0.76,"c_29.txt",4.0
-0.20,8.79,"c_30.txt",4.0
12.09,3.31,"c_31.txt",4.0
0.34,-0.61,"cancer_1.txt",4.0
0.30,-0.60,"cancer_2.txt",4.0
1.10,12.55,"cancer_3.txt",4.0
0.31,-0.61,"cancer_4.txt",4.0
0.27,-0.61,"cancer_5.txt",4.0
2.09,14.44,"cancer_6.txt",4.0
0.30,-0.61,"cancer_7.txt",4.0
0.31,-0.59,"cancer_8.txt",4.0
0.30,-0.61,"cancer_9.txt",4.0
-6.34,-2.82,"cancer_10.txt",4.0
0.31,-0.61,"cancer_11.txt",4.0
0.29,-0.64,"cancer_12.txt",4.0
0.31,-0.61,"cancer_13.txt",4.0
0.27,-0.61,"cancer_14.txt",4.0
-8.81,2.01,"cancer_15.txt",4.0
0.29,-0.59,"cancer_16.txt",4.0
0.28,-0.60,"cancer_17.txt",4.0
0.28,-0.61,"cancer_18.txt",4.0
-9.16,-0.83,"cancer_19.txt",4.0
0.27,-0.61,"cancer_20.txt",4.0
0.30,-0.60,"cancer_21.txt",4.0
0.30,-0.60,"cancer_22.txt",4.0
-13.28,3.26,"cancer_23.txt",4.0
-9.06,-0.82,"cancer_24.txt",4.0
0.29,-0.60,"cancer_25.txt",4.0
0.30,-0.59,"cancer_26.txt",4.0
0.30,-0.61,"cancer_27.txt",4.0
0.32,-0.64,"cancer_28.txt",4.0
8.00,0.76,"cancer_29.txt",4.0
-1.52,-17.55,"cancer_30.txt",4.0
-15.85,-3.18,"cancer_31.txt",4.0
0.31,-0.61,"cancer_32.txt",4.0
0.33,-0.58,"cancer_33.txt",4.0
0.33,-0.63,"cancer_34.txt",4.0
15.92,4.35,"cancer_35.txt",4.0
-9.17,-0.28,"cancer_36.txt",4.0
-13.68,-9.20,"cancer_37.txt",4.0
0.28,-0.63,"cancer_38.txt",4.0
-9.66,1.29,"cancer_39.txt",4.0
-9.11,1.92,"cancer_40.txt",4.0
-9.15,-0.80,"cancer_41.txt",4.0
0.30,-0.57,"cancer_42.txt",4.0
7.12,18.10,"cancer_43.txt",4.0
3.60,11.24,"cancer_44.txt",4.0
0.29,-0.60,"cancer_45.txt",4.0
0.30,-0.60,"cancer_46.txt",4.0
0.33,-0.65,"cancer_47.txt",4.0
-10.37,12.66,"cancer_48.txt",4.0
10.02,13.08,"cancer_49.txt",4.0
0.30,-0.59,"cancer_50.txt",4.0
0.28,-0.58,"cancer_51.txt",4.0
0.30,-0.61,"cancer_52.txt",4.0
-9.04,-0.87,"cancer_53.txt",4.0
-15.26,-2.31,"cancer_54.txt",4.0
8.00,0.77,"cancer_55.txt",4.0
0.27,-0.61,"cancer_56.txt",4.0
15.49,-3.28,"cancer_57.txt",4.0
-9.50,0.93,"cancer_58.txt",4.0
-13.16,3.69,"cancer_59.txt",4.0
-15.73,4.51,"cancer_60.txt",4.0
0.31,-0.62,"cancer_61.txt",4.0
0.32,-0.60,"cancer_62.txt",4.0
0.27,-0.61,"cancer_63.txt",4.0
8.00,0.77,"cancer_64.txt",4.0
0.33,-0.60,"cancer_65.txt",4.0
-14.88,6.79,"cancer_66.txt",4.0
0.32,-0.61,"cancer_67.txt",4.0
-3.96,-4.82,"cancer_68.txt",4.0
-6.68,10.20,"cancer_69.txt",4.0
0.34,-0.60,"cancer_70.txt",4.0
-13.26,2.31,"cancer_71.txt",4.0
0.33,-0.59,"cancer_72.txt",4.0
-8.11,-10.67,"cancer_73.txt",4.0
-9.06,-0.80,"cancer_74.txt",4.0
0.31,-0.59,"cancer_75.txt",4.0
0.30,-0.62,"cancer_76.txt",4.0
-9.52,0.99,"cancer_77.txt",4.0
0.29,-0.59,"cancer_78.txt",4.0
0.30,-0.63,"case_1.txt",9.9
-6.17,-4.75,"case_2.txt",7.27
0.33,-0.62,"case_3.txt",74.43
-5.29,-16.08,"cauterize_1.txt",90.93
0.33,-0.61,"cc_1.txt",4.0
0.29,-0.64,"cc_2.txt",4.0
0.31,-0.61,"cc_3.txt",4.0
0.27,-0.59,"cc_4.txt",4.0
0.32,-0.64,"cc_5.txt",4.0
8.80,8.56,"cc_6.txt",4.0
8.00,0.74,"cc_7.txt",4.0
0.29,-0.59,"cc_8.txt",4.0
-9.06,-0.80,"cc_9.txt",4.0
-9.06,-0.82,"cc_10.txt",4.0
0.27,-0.63,"cc_11.txt",4.0
-9.13,-0.81,"cc_12.txt",4.0
11.21,5.62,"cc_13.txt",4.0
-9.06,-0.81,"cc_14.txt",4.0
-2.85,-12.62,"cc_15.txt",4.0
-0.89,12.01,"cc_16.txt",4.0
0.34,-0.59,"cc_17.txt",4.0
0.32,-0.62,"cc_18.txt",4.0
0.30,-0.62,"cc_19.txt",4.0
8.00,0.75,"cc_20.txt",4.0
12.70,10.57,"cc_21.txt",4.0
0.33,-0.62,"cc_22.txt",4.0
0.31,-0.61,"cc_23.txt",4.0
0.31,-0.61,"cc_24.txt",4.0
0.31,-0.57,"cc_25.txt",4.0
0.30,-0.61,"cc_26.txt",4.0
0.33,-0.62,"cc_27.txt",4.0
0.35,-0.62,"cc_28.txt",4.0
0.31,-0.59,"cc_29.txt",4.0
0.30,-0.60,"cc_30.txt",4.0
0.27,-0.61,"cc_31.txt",4.0
0.29,-0.62,"cc_32.txt",4.0
5.74,-15.81,"cc_33.txt",4.0
7.24,5.08,"cc_34.txt",4.0
0.10,-7.78,"cc_35.txt",4.0
0.31,-0.61,"cc_36.txt",4.0
-9.05,-0.83,"cc_37.txt",4.0
0.27,-0.60,"cc_38.txt",4.0
0.28,-0.61,"cc_39.txt",4.0
0.32,-0.61,"cc_40.txt",4.0
0.34,-0.64,"cc_41.txt",4.0
0.35,-0.59,"cc_42.txt",4.0
0.30,-0.60,"cc_43.txt",4.0
-7.15,-15.05,"char_1.txt",5.18
0.32,-0.60,"chat_1.txt",16.95
0.32,-0.61,"cyberconf_1.txt",6.89
-1.80,16.24,"cyberconf_2.txt",4.0
-11.90,5.96,"d_1.txt",4.0
0.30,-0.60,"d_2.txt",4.0
2.97,-3.73,"d_3.txt",4.0
0.31,-0.57,"d_4.txt",4.0
0.30,-0.61,"d_5.txt",4.0
0.30,-0.59,"d_6.txt",4.0
0.27,-0.64,"d_7.txt",4.0
0.29,-0.59,"d_8.txt",4.0
8.00,0.77,"d_9.txt",4.0
4.50,15.55,"d_10.txt",4.0
0.30,-0.62,"d_11.txt",4.0
0.29,-0.64,"d_12.txt",4.0
-6.14,12.25,"d_13.txt",4.0
0.31,-0.59,"d_14.txt",4.0
0.32,-0.61,"d_15.txt",4.0
0.29,-0.58,"d_16.txt",4.0
0.29,-0.61,"d_17.txt",4.0
0.33,-0.63,"d_18.txt",4.0
-7.03,-15.00,"d_19.txt",4.0
-9.13,-0.80,"d_20.txt",4.0
-2.36,13.14,"d_21.txt",4.0
13.70,-2.00,"d_22.txt",4.0
-0.22,-8.07,"d_23.txt",4.0
-13.10,-3.56,"d_24.txt",4.0
0.33,-0.60,"d_25.txt",4.0
0.33,-0.58,"d_26.txt",4.0
0.30,-0.61,"d_27.txt",4.0
0.29,-0.59,"d_28.txt",4.0
-15.63,-4.90,"d_29.txt",4.0
0.32,-0.57,"d_30.txt",4.0
8.00,0.76,"d_31.txt",4.0
13.18,9.81,"d_32.txt",4.0
-4.84,-16.72,"d_33.txt",4.0
15.87,-4.95,"d_34.txt",4.0
0.31,-0.59,"d_35.txt",4.0
0.32,-0.60,"d_36.txt",4.0
0.28,-0.63,"dd_1.txt",4.0
-1.05,-7.79,"dd_2.txt",6.02
-6.60,-5.19,"dd_3.txt",4.0
15.18,-4.45,"dd_4.txt",4.0
-6.34,-4.52,"dd_5.txt",4.0
0.32,-0.63,"dd_6.txt",4.0
0.27,-0.60,"dd_7.txt",4.0
0.32,-0.65,"dd_8.txt",4.0
0.29,-0.61,"dd_9.txt",4.0
0.32,-0.60,"dd_10.txt",4.0
16.31,-2.58,"dd_11.txt",4.0
0.29,-0.62,"dd_12.txt",4.0
0.34,-0.60,"dd_13.txt",4.0
0.28,-0.59,"dd_14.txt",4.0
8.51,-10.68,"dd_15.txt",4.0
0.32,-0.61,"dd_16.txt",4.0
0.30,-0.60,"dd_17.txt",4.0
0.31,-0.61,"dd_18.txt",4.0
0.30,-0.61,"dd_19.txt",4.0
0.29,-0.61,"dd_20.txt",4.0
12.52,3.37,"dd_21.txt",4.0
0.28,-0.58,"dd_22.txt",4.0
0.29,-0.62,"dd_23.txt",4.0
0.27,-0.60,"dd_24.txt",4.0
0.34,-0.60,"dd_25.txt",4.0
-0.42,-7.28,"dd_26.txt",4.0
0.29,-0.61,"dd_27.txt",4.0
0.31,-0.62,"dd_28.txt",4.0
0.27,-0.60,"dd_29.txt",4.0
8.86,-14.19,"dd_30.txt",4.0
0.30,-0.61,"dd_31.txt",4.0
8.00,0.77,"dd_32.txt",4.0
8.16,10.83,"dd_33.txt",4.0
3.96,15.82,"deathstuff_1.txt",4.0
0.30,-0.61,"defuge_1.txt",4.0
0.31,-0.63,"defuge_2.txt",4.0
0.30,-0.61,"defuge_3.txt",4.0
0.34,-0.60,"defuge_4.txt",4.0
0.30,-0.60,"defuge_5.txt",4.0
0.27,-0.60,"defuguefugue_1.txt",21.07
0.30,-0.61,"defuguefugue_2.txt",7.97
0.28,-0.60,"desktop.ini_1.txt",4.0
-15.05,2.83,"directory_1.txt",5.65
-9.20,0.83,"dirty_1.txt",8.22
0.32,-0.59,"dirty_2.txt",4.0
0.34,-0.61,"duskdance.bvh_1.txt",480.47
0.30,-0.60,"e_1.txt",4.0
8.00,0.76,"e_2.txt",4.0
8.08,0.77,"e_3.txt",4.0
-5.84,12.10,"e_4.txt",4.0
0.29,-0.61,"e_5.txt",4.0
0.29,-0.65,"e_6.txt",4.0
-12.23,-5.70,"e_7.txt",4.0
4.07,-19.29,"e_8.txt",4.0
0.28,-0.63,"e_9.txt",4.0
0.29,-0.62,"e_10.txt",4.0
-13.20,2.65,"e_11.txt",4.0
16.52,-1.19,"e_12.txt",4.0
0.28,-0.61,"e_13.txt",4.0
0.29,-0.62,"e_14.txt",4.0
8.00,0.76,"e_15.txt",4.0
13.43,-0.66,"e_16.txt",4.0
0.29,-0.63,"e_17.txt",4.0
0.27,-0.61,"e_18.txt",4.0
0.73,-7.38,"e_19.txt",4.0
-9.06,-0.82,"e_20.txt",4.0
5.93,-12.33,"e_21.txt",4.0
0.30,-0.63,"e_22.txt",4.0
13.10,14.20,"e_23.txt",4.0
-3.59,-13.24,"e_24.txt",4.0
0.31,-0.65,"e_25.txt",4.0
16.25,-2.84,"e_26.txt",4.0
0.28,-0.60,"e_27.txt",4.0
5.04,7.38,"e_28.txt",4.0
0.30,-0.61,"e_29.txt",4.0
0.31,-0.57,"e_30.txt",4.0
-10.86,6.21,"e_31.txt",4.0
3.87,8.65,"e_32.txt",4.0
8.00,0.75,"e_33.txt",4.0
0.31,-0.60,"e_34.txt",4.0
0.33,-0.60,"earlyselection_1.txt",4.0
0.34,-0.59,"earlyselection_2.txt",4.0
0.31,-0.59,"earlyselection_3.txt",4.0
0.32,-0.61,"earlyselection_4.txt",4.0
0.30,-0.61,"earlyselection_5.txt",4.0
0.33,-0.58,"earlyselection_6.txt",4.0
0.30,-0.61,"earlyselection_7.txt",4.0
0.31,-0.61,"earlyselection_8.txt",4.0
0.29,-0.61,"earlyselection_9.txt",4.0
0.31,-0.59,"earlyselection_10.txt",4.0
0.30,-0.61,"earlyselection_11.txt",4.0
0.31,-0.61,"earlyselection_12.txt",4.0
